Timestamp,Open,High,Low,Close,Volume,HL,Pressure,PV,PPrice1,PColor1,PPrice2,PColor2,Direction,Diff
1993-06-01,1.5613,1.567,1.4637,1.4908,64042.0,0.0,,,1.5613,0.0,1.5613,0.0,0.0,1.5613
1993-07-01,1.4898,1.5255,1.472,1.4815,57102.0,10329.999999999995,,,1.4898,3.0,1.4898,4.0,4.0,1.4898
1993-08-01,1.479,1.5215,1.455,1.4912,64442.0,5350.00000000001,5.5277831558567305,,1.479,0.0,1.479,4.0,4.0,1.479
1993-09-01,1.4905,1.558,1.4855,1.495,65422.0,6650.0,12.04523364485979,6.51745048900306,1.4905,3.0,1.4905,1.0,1.0,1.4905
1993-10-01,1.495,1.5395,1.47,1.478,54411.0,7250.0,9.837894736842106,-2.207338908017684,1.495,3.0,1.495,3.0,3.0,1.495
1993-11-01,1.4825,1.4981,1.4635,1.4863,46272.0,6950.000000000011,7.504965517241379,-2.332929219600727,1.4825,3.0,1.4825,2.0,2.0,1.4825
1993-12-01,1.4856,1.5115,1.472,1.4765,43563.0,3459.999999999996,6.6578417266186944,-0.8471237906226845,1.4856,0.0,1.4856,2.0,2.0,1.4856
1994-01-01,1.478,1.512,1.474,1.5074,37811.0,3950.0000000000086,12.59046242774568,5.932620701126985,1.478,0.0,1.478,2.0,2.0,1.478
1994-02-01,1.5064,1.5097,1.454,1.4858,45100.0,3800.000000000003,9.572405063291118,-3.0180573644545614,1.5064,3.0,1.5064,1.0,1.0,1.5064
1994-03-01,1.4847,1.506,1.4734,1.484,40803.0,5570.000000000008,11.86842105263157,2.296015989340452,1.4847,0.0,1.4847,1.0,1.0,1.4847
1994-04-01,1.4835,1.526,1.4607,1.52,36861.0,3259.999999999996,7.325493716337512,-4.542927336294058,1.4835,3.0,1.4835,4.0,4.0,1.4835
1994-05-01,1.516,1.521,1.485,1.5115,34782.0,6529.999999999991,11.30705521472394,3.9815614983864283,1.516,3.0,1.516,3.0,3.0,1.516
1994-06-01,1.5109,1.5595,1.5015,1.5448,43572.0,3599.999999999981,5.32649310872895,-5.98056210599499,1.5109,3.0,1.5109,1.0,1.0,1.5109
1994-07-01,1.5432,1.577,1.52,1.544,47151.0,5800.000000000005,12.103333333333397,6.776840224604447,1.5432,0.0,1.5432,1.0,1.0,1.5432
1994-08-01,1.5525,1.5625,1.5204,1.5352,52313.0,5699.999999999994,8.129482758620684,-3.9738505747127135,1.5525,3.0,1.5525,3.0,3.0,1.5525
1994-09-01,1.5343,1.5902,1.5315,1.5777,49082.0,4210.000000000003,9.177719298245623,1.0482365396249396,1.5343,3.0,1.5343,2.0,2.0,1.5343
